13.712,13.387,13.445,13.469,13.406,13.357,13.458,13.561,13.426,13.447,13.472,13.589,13.392,13.771,13.582,13.41,13.47,13.505,13.499,13.393,13.428,13.515,13.561,13.373,13.488,13.503,13.482,13.502,13.584,13.632,13.562,13.439,13.433,13.534,13.442,13.697,13.907,13.408,13.533,13.393,13.449,13.529,13.556,13.393,13.588,13.506,13.591,13.403,13.59,13.531,13.528,13.477,13.449,13.498,13.382,13.56,13.531,13.519,13.394,13.83,13.818,13.42,13.492,13.471,13.363,13.461,13.537,13.459,13.387,13.457,13.531,13.435,13.532,13.452,14.085,14.006,13.793,13.84,13.522,13.632,13.528,13.589,14.057,13.654,13.485,13.386,13.48,13.36,13.585,13.454,13.451,13.379,13.369,13.521,13.326,13.496,13.57,13.475,13.403,13.432
7.5895,7.5508,7.5983,7.5994,7.6044,7.5508,7.6148,7.6058,7.7603,7.8245,7.5349,7.5856,7.6208,7.5976,7.5979,7.6227,7.5712,7.5656,7.5918,7.6007,7.5906,7.6357,7.5852,7.5791,7.5998,7.4908,7.6759,7.5901,7.5988,7.5744,7.6041,7.5999,7.6935,7.5977,7.602,7.5842,7.5869,7.5569,7.5989,7.6215,7.6364,7.5818,7.6232,7.5853,7.5903,7.7238,7.8888,7.7016,7.5886,7.5989,7.5954,7.6073,7.5589,7.5865,7.5926,7.6152,7.5462,7.5877,7.6106,7.6177,7.7009,7.5832,7.5704,7.6032,7.5738,7.6138,7.5521,7.6143,7.5211,7.5599,7.6732,7.6638,7.5933,7.5782,7.5977,7.638,7.5743,7.612,7.5925,7.5989,7.5872,7.5758,7.7741,7.919,7.5841,7.5362,7.59,7.6075,7.5337,7.6573,7.5741,7.5725,7.5506,7.5864,7.5783,7.5747,7.5786,7.6027,7.6459,7.6198
4.8876,4.9086,4.9336,4.8337,4.8568,4.905,4.7936,4.848,4.922,4.8075,4.8784,4.8731,4.8418,4.9181,4.8138,4.8776,4.9078,4.8968,4.8588,4.8044,4.8932,4.9253,4.8281,4.8408,4.9083,4.784,4.8621,4.9999,5.0852,4.8495,4.9352,4.7822,4.9162,4.8095,4.854,4.9253,4.8048,4.8346,4.9329,4.7589,4.9584,4.8329,4.8269,4.8795,4.8402,4.8503,4.9162,4.7861,4.9139,4.7938,4.8657,4.8976,4.7971,4.8482,4.8994,4.7293,4.9167,4.8432,4.8264,4.9468,4.8678,4.8364,4.9166,4.7779,4.9354,4.794,4.8461,4.8811,4.8029,4.8372,4.9081,4.7891,4.9291,4.8107,4.859,4.9154,4.7865,4.8643,4.9052,5.2076,5.3162,4.8682,4.8862,4.8145,4.8948,4.934,4.7845,4.9064,4.8101,4.8717,4.9282,4.8111,4.8298,4.9303,4.8014,4.948,4.8114,4.8685,4.9072,4.8202
3.4632,3.3637,3.5669,3.4573,3.5914,3.4237,3.3879,3.453,3.4299,3.456,3.3462,3.6033,3.3719,3.5268,3.3764,3.4048,3.4589,3.4397,3.4398,3.3688,3.54,3.3981,3.4277,3.4652,3.3949,3.4446,3.4172,3.4428,3.3459,3.5055,3.3804,3.4035,3.4716,3.407,3.4554,3.3682,3.519,3.386,3.6367,3.5102,3.6733,3.4962,3.4952,3.8073,3.9565,3.4602,3.5122,3.4649,3.5753,3.5247,3.4553,3.4516,3.4115,3.4568,3.4354,3.4304,3.4131,3.5901,3.3749,3.4857,3.417,3.4658,3.4897,3.4173,3.4443,3.3977,3.4977,3.3713,3.5093,3.3672,3.4016,3.4712,3.4164,3.4569,3.3987,3.4464,3.3366,3.5235,3.4127,3.4818,3.4732,3.4094,3.4518,3.3671,3.5097,3.3425,3.453,3.4303,3.4146,3.4907,3.3982,3.4652,3.3453,3.5025,3.3541,3.4476,3.4824,3.4249,3.4582,3.3999
2.6092,2.4874,2.5106,2.7756,2.6258,2.6473,2.6427,2.5671,2.4871,2.5572,2.5852,2.5049,2.5572,2.5867,2.4843,2.5387,2.577,2.5078,2.5592,2.5779,2.4889,2.5488,2.587,2.5345,2.5564,2.5684,2.5071,2.5353,2.5827,2.5051,2.5112,2.6792,2.5142,2.5126,2.6829,2.5181,2.5201,2.6877,2.4865,2.4936,2.7237,2.5134,2.4814,2.6221,2.5235,2.4722,2.5985,2.5834,2.4893,2.5665,2.5834,2.4886,2.5642,2.6534,2.4796,2.5723,2.6829,2.4824,2.585,2.6618,2.5004,2.5416,2.6535,2.4941,2.5465,2.6981,2.4966,2.5505,2.6708,2.4771,2.5565,2.7044,2.4894,2.5367,2.6831,2.5113,2.5595,2.6565,2.5185,2.5693,2.6501,2.5967,2.6569,2.653,2.6559,2.5761,2.4914,2.5778,2.5687,2.5063,2.4929,2.6731,2.4825,2.5233,2.7413,2.4972,2.4876,2.701,2.5016,2.5093
2.0522,2.0214,1.9579,2.0213,1.9389,2.0894,1.9348,1.975,1.9649,1.9678,1.9142,1.9695,1.986,1.9472,1.9451,1.9858,2.0225,1.9198,1.9223,1.9972,2.0264,1.9379,1.9233,1.9999,2.0094,1.9236,1.9184,1.9914,2.0323,1.9319,1.9255,1.9808,2.0365,1.9226,1.9372,1.9796,2.0578,1.9459,1.9317,1.9932,2.0261,1.9323,1.9534,1.9802,2.0588,1.9245,1.9271,1.9724,2.0423,1.917,1.9347,1.9524,2.048,1.9298,1.9223,1.9718,2.0276,1.9364,1.9626,1.9797,2.0564,1.9176,1.9727,1.9131,2.0483,1.9164,1.9881,1.949,2.069,2.1444,2.0819,2.0835,2.0967,1.9308,2.0555,1.9239,1.9688,1.9232,2.0624,1.9301,1.9862,1.9677,1.9961,1.9401,1.9801,1.9894,1.9449,1.9188,1.9879,1.9978,1.9435,1.9265,1.9847,2.012,1.9534,1.925,1.9859,2.048,1.9619,1.9336
1.5923,1.526,1.6493,1.5474,1.5576,1.6051,1.5848,1.6173,1.5368,1.5333,1.6389,1.5667,1.5771,1.5276,1.5351,1.6004,1.6116,1.5766,1.5293,1.5249,1.5979,1.6044,1.5463,1.5435,1.5288,1.6022,1.6117,1.5663,1.532,1.5268,1.5898,1.6511,1.5297,1.5218,1.5422,1.6019,1.6278,1.5337,1.5185,1.5241,1.6027,1.6285,1.5522,1.5436,1.5452,1.5863,1.6906,1.5282,1.5413,1.5429,1.5854,1.6464,1.5234,1.5532,1.5586,1.6068,1.6532,1.5468,1.5376,1.5372,1.5954,1.6451,1.5561,1.5725,1.5391,1.6011,1.6814,1.7652,1.7121,1.5506,1.7553,1.6359,1.5453,1.545,1.5508,1.5868,1.6536,1.538,1.5483,1.5533,1.5986,1.69,1.5551,1.5634,1.5714,1.5775,1.6548,1.5426,1.5346,1.5833,1.5388,1.6488,1.5505,1.5586,1.5904,1.5288,1.6334,1.5395,1.5264,1.5799
1.2442,1.3677,1.259,1.2509,1.2522,1.3227,1.2568,1.3361,1.2487,1.2566,1.2593,1.2762,1.307,1.4329,1.2559,1.2651,1.2486,1.2405,1.2999,1.324,1.2854,1.2471,1.248,1.2729,1.3266,1.3518,1.2996,1.2567,1.2514,1.2587,1.3197,1.2864,1.318,1.2607,1.2529,1.2474,1.3179,1.2684,1.4127,1.2599,1.2519,1.3265,1.3123,1.2582,1.3727,1.2534,1.2716,1.2474,1.3292,1.2402,1.4362,1.2458,1.254,1.2563,1.3186,1.2514,1.4512,1.2647,1.249,1.2529,1.3404,1.2422,1.4596,1.2676,1.2548,1.2469,1.3084,1.2515,1.3539,1.255,1.2592,1.2658,1.5199,1.4162,1.2995,1.3802,1.329,1.349,1.2595,1.2584,1.2557,1.2977,1.279,1.3601,1.2535,1.2515,1.2497,1.2479,1.3135,1.3824,1.2771,1.2456,1.2572,1.2643,1.323,1.306,1.2991,1.3202,1.2489,1.254
1.1137,1.0572,1.1711,1.0469,1.0476,1.0506,1.0508,1.144,1.0551,1.1881,1.0654,1.0611,1.0604,1.0484,1.1201,1.0526,1.1332,1.0762,1.0522,1.0558,1.057,1.1305,1.044,1.0751,1.138,1.0508,1.0622,1.0594,1.0547,1.11,1.0453,1.1665,1.0428,1.0501,1.0586,1.1441,1.1024,1.0481,1.1583,1.059,1.0509,1.0533,1.0658,1.1114,1.0503,1.1815,1.0581,1.0561,1.0494,1.0745,1.1116,1.0346,1.1243,1.0821,1.05,1.1147,1.0495,1.1176,1.041,1.0576,1.1598,1.0539,1.0521,1.065,1.06,1.1817,1.0389,1.2438,1.0735,1.0441,1.0491,1.0487,1.1069,1.0474,1.151,1.0615,1.0818,1.0712,1.051,1.1743,1.043,1.1708,1.056,1.0516,1.0523,1.0467,1.1051,1.0481,1.3802,1.0398,1.2013,1.043,1.1092,1.1558,1.0464,1.1652,1.0433,1.0493,1.0477,1.053
0.95833,0.8878,0.93634,0.97692,0.90743,0.90681,0.8938,0.90226,0.96545,0.89695,0.89584,1.011,0.89984,0.90008,0.90472,0.9063,0.89801,0.95147,0.90215,1.0036,0.90856,0.92926,0.89736,0.90225,0.90287,0.96015,0.888,0.93046,1.0056,0.90811,0.90639,0.9091,0.898,0.94254,0.91641,0.90223,1.0076,0.92279,0.90523,0.90092,0.90569,0.9109,0.95991,0.89489,0.97731,0.9287,0.90941,0.89978,0.91273,0.90017,0.96528,0.89757,0.96102,1.088,0.89857,0.90375,0.90264,0.90889,0.9536,0.89776,0.89758,1.0199,0.89365,0.89751,0.89627,0.89516,0.90334,0.95575,0.89125,0.98745,0.96885,0.9026,0.90292,0.91151,0.89773,0.95426,0.88794,0.89732,1.0205,0.90332,0.91457,0.96342,0.90642,0.89108,0.95553,0.89357,1.0823,0.90887,0.91178,0.9052,0.9051,0.90285,0.97299,0.89071,0.93687,0.97382,0.90743,0.90063,0.91536,0.9004
