0.069682,0.055107,0.035329,0.05691
0.069683,0.055108,0.03533,0.056911
0.070738,0.055975,0.035902,0.057671
0.081881,0.065113,0.041954,0.065628
0.10781,0.086253,0.056096,0.083635
0.13911,0.11139,0.073299,0.10458
0.16814,0.13398,0.089375,0.12335
0.1946,0.15356,0.10408,0.14
0.21988,0.17129,0.11814,0.15551
0.24476,0.18789,0.13204,0.17042
0.26921,0.20346,0.14581,0.18479
0.29412,0.21866,0.16012,0.19932
0.31791,0.23266,0.1741,0.21311
0.34073,0.24571,0.18793,0.22642
0.36227,0.25775,0.20147,0.23917
0.38432,0.27004,0.21608,0.25285
0.40401,0.28085,0.2297,0.26536
0.42232,0.29089,0.24302,0.27747
0.43922,0.30019,0.25593,0.28914
0.45717,0.31043,0.2703,0.30248
0.47237,0.31906,0.28314,0.31416
0.48645,0.32716,0.29559,0.32549
0.49943,0.33477,0.30758,0.33643
0.51397,0.3438,0.32119,0.34954
0.52577,0.35109,0.33293,0.36051
0.53674,0.358,0.34423,0.37114
0.54884,0.36607,0.35664,0.38348
0.55883,0.37272,0.36754,0.39398
0.56817,0.37907,0.37802,0.40414
0.57689,0.38513,0.38807,0.41393
0.58683,0.39245,0.39938,0.42557
0.59483,0.3983,0.40905,0.43514
0.60234,0.40391,0.41835,0.44437
0.60938,0.40926,0.42728,0.45323
0.61761,0.41591,0.4376,0.46397
0.62409,0.42109,0.44623,0.47258
0.6302,0.42606,0.45453,0.48084
0.63594,0.43083,0.46252,0.48877
0.64277,0.43689,0.47201,0.49858
0.64808,0.44152,0.47976,0.50625
0.65309,0.44597,0.48723,0.51362
0.65781,0.45024,0.49444,0.52069
0.66351,0.45581,0.5032,0.52955
0.66789,0.45999,0.51021,0.53638
0.67203,0.46402,0.51698,0.54294
0.67594,0.46791,0.52352,0.54924
0.68072,0.47307,0.53162,0.55721
0.68436,0.47689,0.53799,0.56329
0.68782,0.48058,0.54416,0.56913
0.69111,0.48416,0.55012,0.57475
0.69516,0.48902,0.5576,0.5819
0.69824,0.49256,0.56341,0.58731
0.70117,0.496,0.56904,0.59252
0.70472,0.50055,0.5759,0.59892
0.70749,0.50397,0.58137,0.60393
0.71014,0.5073,0.58667,0.60876
0.71268,0.51054,0.59181,0.61342
0.71583,0.51493,0.59809,0.61917
0.71826,0.51817,0.60307,0.62364
0.7206,0.52134,0.6079,0.62797
0.72286,0.52444,0.61257,0.63214
0.72575,0.52869,0.61826,0.63733
0.72794,0.5318,0.62277,0.64135
0.73007,0.53486,0.62715,0.64525
0.73213,0.53785,0.63138,0.64901
0.73487,0.54201,0.63647,0.65373
0.7369,0.54502,0.64054,0.65737
0.73889,0.54798,0.64447,0.6609
0.74083,0.55089,0.64828,0.66432
0.74348,0.55499,0.65279,0.66864
0.74542,0.55793,0.65643,0.67196
0.74733,0.56082,0.65996,0.67519
0.7492,0.56367,0.66336,0.67832
0.75181,0.56772,0.66734,0.68233
0.7537,0.5706,0.67059,0.68539
0.75556,0.57344,0.67373,0.68837
0.75812,0.57739,0.67729,0.69212
0.76001,0.58027,0.68028,0.69502
0.76188,0.58311,0.68317,0.69786
0.76372,0.58592,0.68596,0.70063
0.76627,0.58986,0.68912,0.70416
0.76815,0.5927,0.69178,0.70688
0.77002,0.59552,0.69435,0.70954
0.77187,0.59831,0.69684,0.71214
0.77442,0.60225,0.69968,0.71549
0.7763,0.60508,0.70206,0.71805
0.77817,0.60789,0.70436,0.72056
0.78003,0.61067,0.7066,0.72302
0.78258,0.61463,0.70918,0.7262
0.78447,0.61746,0.71132,0.72862
0.78635,0.62026,0.71341,0.731
0.78822,0.62305,0.71543,0.73334
0.79074,0.62704,0.71781,0.73635
0.79264,0.62987,0.71976,0.73865
0.79453,0.63269,0.72166,0.74092
0.79641,0.63548,0.72352,0.74314
0.79889,0.63951,0.72574,0.74599
0.80079,0.64237,0.72754,0.74818
0.80268,0.6452,0.7293,0.75033
0.80456,0.64802,0.73102,0.75244
