13.555,13.34,13.34,13.374,13.265,13.481,13.487,13.327,13.345,13.372,13.378,13.385,13.392,13.263,13.416,13.436,13.28,13.323,13.516,13.357,13.384,13.508,13.32,14.567,14.601,15.539,14.812,15.556,15.266,14.32,14.651,13.973,13.929,14.882,13.915,14.383,14.501,14.199,14.157,14.365,13.633,13.724,14.11,14.347,14.794,13.67,13.703,13.689,14.531,14.425,14.533,14.538,14.466,14.595,14.689,14.16,14.047,13.736,13.329,13.511,13.534,14.103,13.645,13.691,13.928,14.493,15.754,14.369,14.284,14.04,13.645,13.747,13.701,13.707,13.618,13.547,13.588,14.306,13.829,15.929,14.345,14.877,14.423,13.88,14.193,14.067,14.146,13.879,13.497,13.552,13.792,14.195,14.001,14.73,14.338,13.857,13.281,14.456,13.589,13.682
7.6259,7.6291,7.5617,7.5066,7.6051,7.6486,7.9255,7.4392,7.9922,7.9095,7.7511,7.6948,7.5974,7.5321,7.8977,7.8085,7.5619,7.595,7.4907,7.5331,7.5122,7.5197,7.5724,7.6047,7.4921,7.5252,7.5786,7.5005,7.4633,7.5008,7.7439,7.6514,7.573,7.9165,7.6584,8.592,7.9478,7.9347,7.8653,7.5593,7.5827,7.6845,7.8376,7.7867,7.6166,7.6983,7.7533,7.7299,7.4986,7.4986,7.6759,7.6805,7.6953,7.8087,7.8923,7.6435,7.7026,7.755,7.7827,7.8014,8.0464,8.1065,7.5512,7.5089,7.7666,7.5327,7.5094,7.6285,7.5715,7.644,7.5483,7.5263,7.4959,7.5323,7.5049,7.6773,7.5341,7.5255,7.5588,7.5456,7.6326,7.5253,7.7902,7.9201,8.1694,8.7381,8.2131,7.9391,7.9144,7.9339,7.9288,7.9714,7.858,7.6649,7.5783,7.6548,7.9094,7.8973,7.6395,7.706
5.187,5.2746,5.156,5.3194,5.365,6.2695,5.0704,5.1128,5.1527,5.2028,26.732,5.8244,4.9492,5.1658,5.1338,4.8265,4.9573,4.9645,5.0632,5.5281,5.1654,4.8504,4.8795,4.8449,4.79,4.8811,5.1949,5.4099,5.0349,5.1548,5.1,4.9563,4.8586,4.9537,5.1129,5.2651,5.0087,4.8158,4.7214,4.7375,4.7004,4.8293,5.2163,4.9174,4.9107,4.8638,5.1499,4.7764,4.9094,6.4999,5.0571,4.9818,5.0519,4.8746,4.8792,4.9975,4.7237,4.7824,4.7018,4.7427,4.8434,4.7406,4.7339,4.7595,4.7035,4.7533,4.8006,4.8155,4.7638,4.7372,4.7698,4.7108,4.789,4.7445,4.7345,4.7869,4.8226,4.7406,4.7352,4.7419,4.7752,4.7242,4.754,4.7167,4.7572,4.7579,4.8284,5.5569,5.101,4.7508,4.7357,4.7472,4.7405,4.7111,4.7468,4.7183,4.7358,4.7503,4.7209,4.7244
3.4024,3.364,3.3267,3.3395,3.3492,3.3118,3.5037,3.3298,3.3858,3.4239,3.3583,3.3187,3.3418,3.337,3.3553,3.3393,3.3487,3.3319,3.3221,3.4445,3.3776,3.3178,3.3682,3.4012,3.3362,3.3341,3.5238,3.3683,3.3424,3.3545,3.4236,3.3524,3.3608,3.353,3.338,3.3847,3.3684,3.7103,3.5516,3.3747,3.552,3.469,3.3762,4.3426,3.7069,3.8628,3.3862,3.4847,3.4511,3.4871,3.6482,3.3919,3.3646,3.3601,3.3647,3.3484,3.4193,3.3421,3.3577,3.342,3.3494,3.3351,3.3799,3.3663,3.3978,3.3193,3.325,3.3765,3.3445,3.3602,3.3695,3.3725,3.3447,3.3334,3.3364,3.4065,3.4483,3.3585,3.33,3.3786,3.357,3.3265,3.3114,3.36,3.4005,3.4316,3.3364,3.36,3.3647,3.393,3.3776,3.3392,3.3518,3.3427,3.348,3.353,3.3334,3.3303,3.3983,3.4206
2.579,2.4982,2.4911,2.4924,2.4713,2.4901,2.4778,2.4835,2.4793,2.5328,2.5114,2.474,2.4871,2.5016,2.4705,2.4543,2.5109,2.4666,2.4644,2.4948,2.4475,2.4711,2.4861,2.5099,2.5199,2.8239,2.4841,2.459,2.6099,2.4937,2.4856,2.4704,2.4575,2.4773,2.5015,2.4714,2.4573,2.5255,2.4914,2.4774,2.4855,2.5297,2.5023,2.5198,2.4754,2.4667,2.4889,2.4663,2.4629,2.4626,2.6094,2.4786,2.5631,2.4779,2.4623,2.4736,2.483,2.4835,2.5113,2.4751,2.48,2.4714,2.4863,2.4711,2.4944,2.4782,2.4775,2.4801,2.4677,2.4848,2.5023,2.4733,2.5454,2.4659,2.4798,2.4591,2.5078,2.4775,2.4779,2.4729,2.4615,2.4652,2.6673,2.697,2.472,2.4892,2.4796,2.4637,2.4756,2.4711,2.4743,2.4932,2.4622,2.4833,2.5096,2.4773,2.4729,2.4831,2.5022,2.4795
1.9277,1.968,1.9099,1.9,1.9213,1.9229,1.9196,1.9328,1.9682,1.9366,1.91,1.9217,1.9153,2.0037,1.9062,1.9046,1.923,1.9075,1.9061,1.9102,1.9461,1.9093,1.9094,1.9265,1.9172,1.8927,1.9094,1.9271,1.9061,1.9185,1.9231,1.9149,1.9049,1.9088,1.9054,1.9308,1.9133,1.9383,1.9724,1.9696,1.9109,1.9017,1.9174,1.9168,1.9251,1.9133,1.9174,1.9287,1.9073,1.9028,1.9781,1.9276,1.9118,1.9145,1.9055,1.9716,1.9136,1.9158,1.9075,1.9172,1.9252,1.9015,1.9344,1.9379,1.9052,1.9202,1.9626,1.9192,1.9896,1.9142,1.9237,1.9133,1.9114,1.9008,1.9086,1.905,1.9084,1.9302,1.9338,1.9035,1.9442,1.923,2.1425,1.9868,1.9755,1.9611,1.9795,1.9924,1.9726,1.9842,1.951,1.9544,2.111,1.9846,1.9273,1.9251,1.9563,1.9347,1.9113,1.9127
1.5174,1.6097,1.5302,1.5401,1.5334,1.5209,1.5195,1.538,1.5294,1.5229,1.5303,1.5651,1.531,1.5269,1.5281,1.5273,1.6114,1.5222,1.5253,1.5185,1.515,1.5439,1.5186,1.5462,1.528,1.5358,1.5393,1.5368,1.5221,1.5304,1.5328,1.5546,1.5258,1.5495,1.5264,1.5435,1.5349,1.5843,1.5486,1.5444,1.5575,1.5299,1.5227,1.5235,1.5374,1.5289,1.5194,1.5375,1.5246,1.526,1.545,1.5474,1.5346,1.5291,1.5277,1.5231,1.5452,1.5458,1.5295,1.5256,1.5508,1.537,1.5364,1.5262,1.5459,1.5188,1.5367,1.5644,1.5337,1.5434,1.6197,1.5278,1.5217,1.5368,1.5627,1.5244,1.5177,1.5373,1.5362,1.5829,1.5589,1.5296,1.5744,1.5414,1.546,1.5812,1.5312,1.5235,1.523,1.5458,1.5528,1.5326,1.5226,1.5225,1.5416,1.5388,1.5267,1.5356,1.5254,1.5521
1.2538,1.4163,1.2866,1.2535,24.396,3.9135,3.367,1.6654,3.0565,2.0075,2.0239,2.0275,2.6861,1.5263,1.3817,1.4513,1.3828,1.4381,1.452,1.3597,11.754,1.3408,1.3234,1.2922,1.3313,1.2543,1.2821,1.2875,1.3192,1.3135,1.3494,1.2957,1.2923,1.2951,1.3015,1.316,1.3126,1.3141,1.2935,1.3387,1.2672,1.2854,1.2526,1.2639,1.266,1.2695,1.2765,1.2748,1.3259,1.272,1.275,1.2683,1.2742,1.2879,1.2979,1.2582,1.2906,1.2823,1.3134,1.2598,1.2738,1.2653,1.2694,1.2742,1.2585,1.255,1.2894,1.2627,1.2497,1.2789,1.2743,1.2671,1.3062,1.2657,1.2879,1.251,1.2597,1.2474,1.2656,1.2578,1.3249,1.276,1.2661,1.2898,1.2765,1.2494,1.2608,1.2735,1.2799,1.2504,1.2549,1.2513,1.2474,1.2579,1.2533,1.2588,1.2786,1.25,1.2646,1.2621
1.0616,1.0658,1.0702,1.0593,1.0514,1.0605,1.0912,1.0658,1.08,1.0765,1.0607,1.0425,1.0574,1.0488,1.064,1.08,1.0529,1.0554,1.0766,1.0704,1.1454,1.0793,1.0786,1.0663,1.0813,1.0541,1.1005,1.0551,1.0789,1.0623,1.0767,1.0573,1.0783,1.0671,1.0528,1.0683,1.0709,1.0558,1.0453,1.0815,1.0944,1.0523,1.0774,1.1465,1.2363,1.2235,1.077,1.0799,1.109,1.0664,1.0695,1.0497,1.1422,1.1483,1.0711,1.0639,1.0599,1.1858,1.069,1.154,1.1339,1.0585,1.08,1.0612,1.0833,1.0578,1.0535,1.0891,1.0537,1.049,1.0593,1.0685,1.0846,1.092,1.0733,1.0688,1.064,1.083,1.0889,1.0509,1.0669,1.0864,1.08,1.0584,1.074,1.0518,1.0454,1.0766,1.0503,1.0575,1.047,1.1291,1.0963,1.0478,1.0684,1.0535,1.0712,1.0545,1.0491,1.0643
1.0232,0.91004,0.91835,0.93532,0.88917,0.92658,0.89485,0.92976,0.89649,0.89731,0.9,0.92689,0.89946,0.90928,0.93234,0.89983,0.90125,0.90473,0.9024,0.97169,0.92468,0.90237,0.91153,0.95842,0.91941,0.90998,0.893,0.90523,0.90358,0.90012,0.91168,0.92319,0.90451,0.90549,0.90383,0.89359,0.92052,0.90471,0.89694,0.90485,0.92768,0.92417,0.90357,0.91131,0.94666,0.90666,0.93753,0.93588,0.92104,0.92898,0.92397,0.93019,0.92645,0.92262,0.9079,0.93401,0.93062,0.90596,0.89736,0.9076,0.88922,0.9151,0.92359,0.91164,0.89725,0.91703,0.90926,0.89198,0.90475,0.90015,0.90469,0.90712,0.91002,0.97482,0.90983,0.91962,0.926,0.90821,0.92276,0.91668,0.99013,0.93408,0.93653,0.92981,1.0027,0.92297,0.91309,0.92085,0.93572,0.93898,0.89982,0.90586,0.90438,0.89377,0.91183,0.90162,0.90288,0.89795,0.90506,0.89706
