00AAFA,1600
00AAFQ,3007
00AAFT,1505
00AAFX,1073
00ABFX,10204
00ABFY,9300
00ABFZ,11450
00ABGA,9299
00ABGB,10096
00ABGC,10089
00ABGD,9371
00ABGE,10333
00ABGF,9649
00ABGG,8890
00ABGH,9316
00ABGJ,9039
00ABGK,10260
00ABGL,8547
00ABGM,8775
00ABGN,9720
00ABGP,9604
00ACFX,14670
00ACFY,15243
00ACFZ,17261
00ACGA,13860
00ACGB,14504
00ACGC,15332
00ACGD,14534
00ACGE,14818
00ACGF,13812
00ACGG,14728
00ACGH,16248
00ACGJ,15663
00ACGK,15377
00ACGL,13847
00ACGM,15378
00ACGN,14740
00ACGP,14448
00ACGQ,15721
00ACGR,14264
00ACGS,14587
00ACGT,15533
00ADGA,10277
00ADGB,10839
00ADGC,10419
00ADGD,10418
00ADGE,10387
00ADGF,10388
00ADGG,10595
00ADGH,10290
00ADGJ,10295
00ADGK,10315
00ADGL,10383
00ADGM,9811
00ADGN,10535
00ADGP,10947
00ADGQ,9611
00ADGR,10465
00ADGS,10482
00ADGT,10043
00ADGU,10672
00ADGW,10432
00ADGX,10701
00AEGJ,12325
00AEGK,13188
00AEGL,11645
00AEGM,12102
00AEGN,13350
00AEGP,11888
00AEGQ,12227
00AEGR,10669
00AEGS,11872
00AEGT,14172
00AEGU,13243
00AEGW,12175
00AEGX,12832
00AEGY,12400
00AEGZ,13174
00AEHA,15945
00AEHB,12307
00AEHC,11836
00AEHD,12405
00AEHE,11003
00AEHF,12714
00AFGD,13904
00AFGE,10131
00AFGF,14171
00AFGG,14499
00AFGH,14068
00AFGJ,14739
00AFGK,15757
00AFGL,14229
00AFGM,14663
00AFGN,16121
00AFGP,11233
00AFGQ,4704
00AFGR,14180
00AFGS,14923
00AFGT,14751
00AFGU,10114
00AFGW,15078
00AFGX,16689
00AFGY,13627
00AFGZ,14374
00AFHA,9303
00AFHB,14276
00AGGD,11653
00AGGE,9224
00AGGF,11574
00AGGG,10490
00AGGH,10465
00AGGJ,11632
00AGGK,10465
00AGGL,10617
00AGGM,11223
00AGGN,10492
00AGGP,10645
00AGGQ,11463
00AGGR,10493
00AGGS,11413
00AGGT,11964
00AGGU,12488
00AGGW,11663
00AGGX,10052
00AHGE,15402
00AHGF,13560
00AHGG,16088
00AHGH,14866
00AHGJ,12225
00AHGK,13220
00AHGL,14443
00AHGM,14085
00AHGN,11176
00AHGP,13053
00AHGQ,13525
00AHGR,10351
00AHGS,13812
00AHGT,12996
00AHGU,12165
00AHGW,14591
00AHGX,11879
00AHGY,13978
00AHGZ,14590
00AHHA,14784
00AHHB,14190
00AHHC,13393
00AHHD,16498
00AHHE,15715
00AJGC,13442
00AJGD,14179
00AJGE,13073
00AJGF,12634
00AJGG,12803
00AJGH,14448
00AJGJ,12329
00AJGK,13297
00AJGL,12466
00AJGM,14008
00AJGN,13068
00AJGP,12806
00AJGQ,12479
00AJGR,13089
00AJGS,12890
00AJGT,13420
00AJGU,12647
00AJGW,13441
00AJGX,13318
00AJGY,13048
00AJGZ,12895
00AJHA,12481
00AJHB,12688
00AKGL,11678
00AKGM,13346
00AKGN,12531
00AKGP,12536
00AKGQ,15103
00AKGR,14137
00AKGS,12714
00AKGT,11605
00AKGU,14485
00AKGW,12305
00AKGX,13052
00AKGY,12686
00AKGZ,13197
00AKHA,12977
00AKHB,12466
00AKHC,12103
00AKHD,12897
00AKHE,13928
00AKHF,12744
00AKHG,14843
00AKHH,12225
00ALGP,13372
00ALGQ,11981
00ALGR,12608
00ALGS,12425
00ALGT,12303
00ALGU,11629
00ALGW,13438
00ALGX,13879
00ALGY,11228
00ALGZ,12098
00ALHA,12832
00ALHB,10155
00ALHC,14112
00ALHD,12854
00ALHE,11755
00ALHF,14965
00ALHG,12767
00AMGA,11330
00AMGB,10500
00AMGC,10728
00AMGD,10438
00AMGE,10358
00AMGF,9928
