00AAFA,-0.0969081,51.5176
00AAFE,-0.0854611,51.5153
00AAFQ,-0.093776,51.5179
00AAFS,-0.0999961,51.5131
00AAFT,-0.104264,51.5155
00AAFX,-0.0759445,51.513
00AAFY,-0.0933164,51.5127
00AAFZ,-0.0812036,51.5115
00AAGB,-0.0861126,51.5113
00ABFX,0.0796609,51.5396
00ABFY,0.146569,51.5461
00ABFZ,0.120249,51.5554
00ABGA,0.135645,51.58
00ABGB,0.17356,51.5567
00ABGC,0.104388,51.5364
00ABGD,0.0848562,51.5334
00ABGE,0.135261,51.5362
00ABGF,0.150545,51.5565
00ABGG,0.0965231,51.544
00ABGH,0.120381,51.5448
00ABGJ,0.13557,51.551
00ABGK,0.150936,51.5333
00ABGL,0.115076,51.5279
00ABGM,0.135203,51.5596
00ABGN,0.163166,51.5387
00ABGP,0.142432,51.5676
00ACFX,-0.144586,51.6288
00ACFY,-0.257197,51.6031
00ACFZ,-0.202778,51.5651
00ACGA,-0.247778,51.5959
00ACGB,-0.153803,51.6102
00ACGC,-0.15779,51.6436
00ACGD,-0.168303,51.592
00ACGE,-0.275254,51.6216
00ACGF,-0.204907,51.5971
00ACGG,-0.183136,51.5809
00ACGH,-0.2093,51.575
00ACGJ,-0.259242,51.6207
00ACGK,-0.222328,51.5903
00ACGL,-0.213449,51.6528
00ACGM,-0.21881,51.6163
00ACGN,-0.171395,51.6331
00ACGP,-0.201023,51.6282
00ACGQ,-0.217218,51.6429
00ACGR,-0.187669,51.6078
00ACGS,-0.237592,51.5773
00ACGT,-0.172394,51.6124
00ADGA,0.162954,51.459
00ADGB,0.148138,51.4878
00ADGC,0.0917948,51.4467
00ADGD,0.118193,51.4458
00ADGE,0.138481,51.4697
00ADGF,0.140309,51.4559
00ADGG,0.170094,51.4706
00ADGH,0.185136,51.4528
00ADGJ,0.12969,51.4255
00ADGK,0.117943,51.4567
00ADGL,0.0984266,51.4675
00ADGM,0.167267,51.4827
00ADGN,0.0972061,51.457
00ADGP,0.133211,51.4824
00ADGQ,0.0941378,51.4283
00ADGR,0.19293,51.4707
00ADGS,0.151626,51.4745
00ADGT,0.141384,51.4391
00ADGU,0.118807,51.4701
00ADGW,0.105313,51.4342
00ADGX,0.131877,51.4995
00AEGJ,-0.298951,51.5422
00AEGK,-0.279118,51.572
00AEGL,-0.220211,51.5421
00AEGM,-0.239553,51.5657
00AEGN,-0.239936,51.5546
00AEGP,-0.262276,51.583
00AEGQ,-0.249478,51.5405
00AEGR,-0.234836,51.5347
00AEGS,-0.295593,51.5817
00AEGT,-0.199353,51.5357
00AEGU,-0.218182,51.5531
00AEGW,-0.31828,51.566
00AEGX,-0.295966,51.5654
00AEGY,-0.214802,51.5344
00AEGZ,-0.27238,51.592
00AEHA,-0.267365,51.5422
00AEHB,-0.316497,51.5565
00AEHC,-0.280213,51.5545
00AEHD,-0.258433,51.5677
00AEHE,-0.296791,51.5504
00AEHF,-0.233924,51.5457
00AFGD,0.0419421,51.401
00AFGE,0.026461,51.3145
00AFGF,0.043189,51.3788
00AFGG,0.0147728,51.4037
00AFGH,0.115102,51.3533
00AFGJ,0.0756194,51.4134
00AFGK,-0.0481622,51.4056
00AFGL,-0.0185969,51.4097
00AFGM,0.126868,51.3892
00AFGN,0.100554,51.3979
00AFGP,-0.068889,51.4158
00AFGQ,0.052005,51.318
00AFGR,0.0727557,51.3674
00AFGS,0.0092579,51.3725
00AFGT,-0.0289417,51.3942
00AFGU,0.0426548,51.4315
00AFGW,0.107124,51.3724
00AFGX,-0.0512079,51.4139
00AFGY,0.0832843,51.3833
00AFGZ,0.0195901,51.4166
00AFHA,-1.42187e-05,51.3961
00AFHB,-0.0111403,51.3787
00AGGD,-0.166867,51.5461
00AGGE,-0.132141,51.5213
00AGGF,-0.147457,51.5408
00AGGG,-0.134995,51.5448
00AGGH,-0.201669,51.553
00AGGJ,-0.183744,51.5541
00AGGK,-0.156884,51.5521
00AGGL,-0.172445,51.5588
00AGGM,-0.153756,51.5466
00AGGN,-0.152897,51.5629
00AGGP,-0.117992,51.5188
00AGGQ,-0.13884,51.5508
00AGGR,-0.19037,51.5411
00AGGS,-0.119628,51.5267
00AGGT,-0.140948,51.532
00AGGU,-0.132864,51.5357
00AGGW,-0.178198,51.5415
00AGGX,-0.193369,51.548
00AHGE,-0.0798311,51.3815
00AHGF,-0.0571949,51.3836
00AHGG,-0.107536,51.3968
00AHGH,-0.11705,51.3814
00AHGJ,-0.123504,51.3085
00AHGK,-0.140149,51.3247
00AHGL,-0.0903101,51.3545
00AHGM,-0.0891855,51.3706
00AHGN,-0.0150962,51.3511
00AHGP,-0.0418475,51.3572
00AHGQ,-0.108834,51.3214
00AHGR,-0.010711,51.3425
00AHGS,-0.118354,51.4106
00AHGT,-0.115048,51.3395
00AHGU,-0.0808637,51.333
00AHGW,-0.0929285,51.3904
00AHGX,-0.0626776,51.3443
00AHGY,-0.0395847,51.3769
00AHGZ,-0.0780563,51.405
00AHHA,-0.0945005,51.4034
00AHHB,-0.0967475,51.4137
00AHHC,-0.110805,51.3625
00AHHD,-0.118386,51.3921
00AHHE,-0.0681877,51.3928
00AJGC,-0.270874,51.5149
00AJGD,-0.322058,51.523
00AJGE,-0.364627,51.5163
00AJGF,-0.309501,51.5169
00AJGG,-0.296592,51.5065
00AJGH,-0.258233,51.5185
00AJGJ,-0.330549,51.5056
00AJGK,-0.359497,51.5306
00AJGL,-0.347613,51.542
00AJGM,-0.294259,51.5252
00AJGN,-0.340034,51.5194
00AJGP,-0.367813,51.5233
00AJGQ,-0.314919,51.4988
00AJGR,-0.332969,51.5506
00AJGS,-0.367398,51.5509
00AJGT,-0.398535,51.5367
00AJGU,-0.363421,51.5012
00AJGW,-0.324002,51.5356
00AJGX,-0.276387,51.5077
00AJGY,-0.38377,51.5107
00AJGZ,-0.387859,51.4991
00AJHA,-0.260185,51.5008
00AJHB,-0.316844,51.5051
00AKGL,-0.108615,51.6111
00AKGM,-0.0791661,51.6354
00AKGN,-0.0876999,51.6726
00AKGP,-0.140672,51.6506
00AKGQ,-0.0583955,51.6204
00AKGR,-0.0352364,51.6593
00AKGS,-0.0262667,51.6713
00AKGT,-0.0926466,51.6432
00AKGU,-0.0729771,51.6241
00AKGW,-0.107929,51.6528
00AKGX,-0.0516345,51.6355
00AKGY,-0.0513446,51.6284
00AKGZ,-0.0989059,51.6192
00AKHA,-0.0425554,51.6443
00AKHB,-0.0606895,51.6542
00AKHC,-0.123528,51.6358
00AKHD,-0.124591,51.6189
00AKHE,-0.0769685,51.6602
00AKHF,-0.0453717,51.6732
00AKHG,-0.0685174,51.6108
00AKHH,-0.103483,51.6291
00ALGP,0.113242,51.4868
00ALGQ,0.015684,51.4736
00ALGR,0.0348203,51.4811
00ALGS,0.0590161,51.4326
00ALGT,0.058877,51.4595
00ALGU,0.0727853,51.4456
00ALGW,0.0391548,51.4592
00ALGX,0.0824407,51.4866
00ALGY,-0.0137855,51.4758
00ALGZ,0.0376479,51.4714
00ALHA,0.0269173,51.4515
00ALHB,0.0136878,51.4889
00ALHC,0.0979202,51.4826
00ALHD,0.0765617,51.4735
00ALHE,0.101184,51.5005
00ALHF,0.0674484,51.4805
00ALHG,0.052028,51.4898
00AMGA,-0.0955853,51.5645
00AMGB,-0.0658499,51.5656
00AMGC,-0.0476987,51.5492
00AMGD,-0.082948,51.5566
00AMGE,-0.0708703,51.5485
00AMGF,-0.0812024,51.5405
00AMGG,-0.0613625,51.5477
00AMGH,-0.0630596,51.5587
00AMGJ,-0.0748091,51.5307
00AMGK,-0.0875033,51.531
00AMGL,-0.0377502,51.5543
00AMGM,-0.0507029,51.5581
00AMGN,-0.0825336,51.5652
00AMGP,-0.0803902,51.5732
00AMGQ,-0.0654429,51.5397
00AMGR,-0.0621237,51.5698
00AMGS,-0.0746751,51.5572
00AMGT,-0.048921,51.5387
00AMGU,-0.0363424,51.5448
00ANGA,-0.218211,51.4994
00ANGB,-0.243229,51.5032
00ANGC,-0.21572,51.4954
00ANGD,-0.237784,51.5213
00ANGE,-0.202419,51.4823
00ANGF,-0.217327,51.4856
00ANGG,-0.227475,51.4945
00ANGH,-0.210322,51.478
00ANGJ,-0.207035,51.4872
00ANGK,-0.213409,51.4738
00ANGL,-0.19599,51.474
00ANGM,-0.241099,51.4972
00ANGN,-0.189501,51.4726
00ANGP,-0.225959,51.5059
00ANGQ,-0.204657,51.4755
00ANGR,-0.23921,51.5105
00APGA,-0.134985,51.5963
00APGB,-0.120544,51.6054
00APGC,-0.0781368,51.5925
00APGD,-0.128552,51.5779
00APGE,-0.152627,51.5914
00APGF,-0.102912,51.5805
00APGG,-0.149313,51.5769
00APGH,-0.120431,51.5853
00APGJ,-0.135512,51.5862
00APGK,-0.103643,51.5946
00APGL,-0.0625543,51.6028
00APGM,-0.09015,51.5826
00APGN,-0.0789456,51.5766
00APGP,-0.111783,51.575
00APGQ,-0.0772008,51.5852
00APGR,-0.0593435,51.5934
00APGS,-0.0895266,51.5924
00APGT,-0.0851826,51.603
